fetch_ts_ms,measured_at_ms,heart_rate
1776294596000,1776294596000,114
1776294598000,1776294598000,115
1776294600000,1776294600000,115
1776294601000,1776294601000,115
1776294603000,1776294603000,115
1776294604000,1776294604000,115
1776294606000,1776294606000,115
1776294607000,1776294607000,111
1776294609000,1776294609000,111
1776294610000,1776294610000,111
1776294612000,1776294612000,111
1776294613000,1776294613000,112
1776294615000,1776294615000,112
1776294616000,1776294616000,112
1776294618000,1776294618000,114
1776294619000,1776294619000,114
1776294621000,1776294621000,114
1776294622000,1776294622000,115
1776294624000,1776294624000,115
1776294625000,1776294625000,115
1776294626000,1776294626000,115
1776294628000,1776294628000,122
1776294629000,1776294629000,122
1776294631000,1776294631000,122
1776294633000,1776294633000,122
1776294634000,1776294634000,122
1776294636000,1776294636000,122
1776294637000,1776294637000,121
1776294639000,1776294639000,121
1776294640000,1776294640000,121
1776294642000,1776294642000,121
1776294643000,1776294643000,120
1776294645000,1776294645000,120
1776294646000,1776294646000,120
1776294648000,1776294648000,122
1776294649000,1776294649000,122
1776294651000,1776294651000,122
1776294652000,1776294652000,123
1776294654000,1776294654000,123
1776294655000,1776294655000,123
1776294657000,1776294657000,121
1776294658000,1776294658000,121
1776294660000,1776294660000,121
1776294661000,1776294661000,121
1776294663000,1776294663000,124
1776294664000,1776294664000,124
1776294666000,1776294666000,124
1776294667000,1776294667000,124
1776294669000,1776294669000,124
1776294671000,1776294671000,124
1776294672000,1776294672000,124
1776294674000,1776294674000,124
1776294675000,1776294675000,124
1776294677000,1776294677000,118
1776294678000,1776294678000,118
1776294680000,1776294680000,118
1776294681000,1776294681000,118
1776294683000,1776294683000,117
1776294684000,1776294684000,117
1776294686000,1776294686000,117
1776294687000,1776294687000,116
1776294689000,1776294689000,116
1776294690000,1776294690000,116
1776294695000,1776294695000,116
1776294697000,1776294697000,114
1776294699000,1776294699000,114
1776294700000,1776294700000,114
1776294702000,1776294702000,114
1776294703000,1776294703000,113
1776294704000,1776294704000,113
1776294706000,1776294706000,113
1776294707000,1776294707000,112
1776294709000,1776294709000,112
1776294710000,1776294710000,112
1776294712000,1776294712000,113
1776294713000,1776294713000,113
1776294715000,1776294715000,113
1776294717000,1776294717000,113
1776294718000,1776294718000,110
1776294720000,1776294720000,110
1776294721000,1776294721000,110
1776294723000,1776294723000,112
1776294724000,1776294724000,112
1776294726000,1776294726000,112
1776294727000,1776294727000,110
1776294729000,1776294729000,110
1776294730000,1776294730000,110
1776294732000,1776294732000,110
1776294733000,1776294733000,109
1776294735000,1776294735000,109
1776294736000,1776294736000,109
1776294738000,1776294738000,109
1776294739000,1776294739000,109
1776294741000,1776294741000,109
1776294742000,1776294742000,108
1776294744000,1776294744000,108
1776294745000,1776294745000,108
1776294747000,1776294747000,108
1776294748000,1776294748000,108
1776294750000,1776294750000,108
1776294752000,1776294752000,108
1776294753000,1776294753000,108
1776294755000,1776294755000,108
1776294756000,1776294756000,108
1776294758000,1776294758000,107
1776294759000,1776294759000,107
1776294761000,1776294761000,107
1776294762000,1776294762000,98
1776294764000,1776294764000,98
1776294765000,1776294765000,98
1776294767000,1776294767000,98
1776294768000,1776294768000,96
1776294770000,1776294770000,96
1776294771000,1776294771000,96
1776294773000,1776294773000,97
1776294775000,1776294775000,97
1776294776000,1776294776000,97
1776294778000,1776294778000,102
1776294779000,1776294779000,102
1776294781000,1776294781000,102
1776294782000,1776294782000,104
1776294783000,1776294783000,104
1776294785000,1776294785000,104
1776294787000,1776294787000,102
1776294788000,1776294788000,102
1776294790000,1776294790000,102
1776294791000,1776294791000,102
1776294793000,1776294793000,98
1776294794000,1776294794000,98
1776294796000,1776294796000,98
1776294797000,1776294797000,101
1776294799000,1776294799000,101
1776294800000,1776294800000,101
1776294802000,1776294802000,97
1776294803000,1776294803000,97
1776294805000,1776294805000,97
1776294807000,1776294807000,97
1776294808000,1776294808000,97
1776294810000,1776294810000,97
1776294811000,1776294811000,97
1776294813000,1776294813000,97
1776294814000,1776294814000,97
1776294816000,1776294816000,97
1776294817000,1776294817000,98
1776294819000,1776294819000,98
1776294820000,1776294820000,98
1776294822000,1776294822000,99
1776294823000,1776294823000,99
1776294825000,1776294825000,99
1776294826000,1776294826000,99
1776294827000,1776294827000,101
1776294829000,1776294829000,101
1776294831000,1776294831000,101
1776294832000,1776294832000,100
1776294834000,1776294834000,100
1776294836000,1776294836000,100
1776294837000,1776294837000,100
1776294839000,1776294839000,100
1776294840000,1776294840000,100
1776294842000,1776294842000,100
1776294843000,1776294843000,100
1776294845000,1776294845000,100
1776294847000,1776294847000,97
1776294848000,1776294848000,97
1776294850000,1776294850000,97
1776294851000,1776294851000,97
1776294853000,1776294853000,97
1776294854000,1776294854000,97
1776294856000,1776294856000,97
1776294857000,1776294857000,96
1776294859000,1776294859000,96
1776294861000,1776294861000,96
1776294862000,1776294862000,95
1776294864000,1776294864000,95
1776294865000,1776294865000,95
1776294867000,1776294867000,92
1776294868000,1776294868000,92
1776294870000,1776294870000,92
1776294871000,1776294871000,92
1776294873000,1776294873000,94
1776294874000,1776294874000,94
1776294876000,1776294876000,94
1776294878000,1776294878000,97
1776294879000,1776294879000,97
1776294881000,1776294881000,97
1776294882000,1776294882000,94
1776294884000,1776294884000,94
1776294885000,1776294885000,94
1776294887000,1776294887000,95
1776294888000,1776294888000,95
1776294890000,1776294890000,95
1776294892000,1776294892000,95
1776294893000,1776294893000,95
1776294895000,1776294895000,95
1776294896000,1776294896000,95
1776294898000,1776294898000,91
1776294903000,1776294903000,91
1776294904000,1776294904000,91
1776294906000,1776294906000,91
1776294907000,1776294907000,91
1776294909000,1776294909000,91
1776294910000,1776294910000,91
1776294912000,1776294912000,92
1776294914000,1776294914000,92
1776294915000,1776294915000,92
1776294917000,1776294917000,93
1776294918000,1776294918000,93
1776294920000,1776294920000,93
1776294922000,1776294922000,93
1776294923000,1776294923000,91
1776294924000,1776294924000,91
1776294926000,1776294926000,91
1776294927000,1776294927000,92
1776294929000,1776294929000,92
1776294931000,1776294931000,92
1776294932000,1776294932000,92
1776294934000,1776294934000,92
1776294935000,1776294935000,92
1776294937000,1776294937000,92
1776294938000,1776294938000,92
1776294940000,1776294940000,92
1776294941000,1776294941000,92
1776294943000,1776294943000,95
1776294944000,1776294944000,95
1776294946000,1776294946000,95
1776294951000,1776294951000,98
1776294952000,1776294952000,98
1776294954000,1776294954000,98
1776294955000,1776294955000,98
1776294958000,1776294958000,91
1776294959000,1776294959000,91
1776294961000,1776294961000,91
1776294962000,1776294962000,90
1776294964000,1776294964000,90
1776294965000,1776294965000,90
1776294967000,1776294967000,91
1776294969000,1776294969000,91
1776294970000,1776294970000,91
1776294972000,1776294972000,91
1776294973000,1776294973000,93
1776294975000,1776294975000,93
1776294976000,1776294976000,93
1776294978000,1776294978000,96
1776294979000,1776294979000,96
1776294981000,1776294981000,96
1776294983000,1776294983000,93
1776294984000,1776294984000,93
1776294986000,1776294986000,93
1776294987000,1776294987000,96
1776294989000,1776294989000,96
1776294990000,1776294990000,96
1776294992000,1776294992000,97
1776294993000,1776294993000,97
1776294995000,1776294995000,97
1776294996000,1776294996000,97
1776294998000,1776294998000,91
1776294999000,1776294999000,91
1776295001000,1776295001000,91
1776295003000,1776295003000,88
1776295004000,1776295004000,88
1776295005000,1776295005000,88
1776295007000,1776295007000,89
1776295009000,1776295009000,89
1776295010000,1776295010000,89
1776295012000,1776295012000,88
1776295013000,1776295013000,88
1776295015000,1776295015000,88
1776295016000,1776295016000,88
1776295018000,1776295018000,89
1776295019000,1776295019000,89
1776295021000,1776295021000,89
1776295022000,1776295022000,89
1776295024000,1776295024000,89
1776295025000,1776295025000,89
1776295027000,1776295027000,89
1776295028000,1776295028000,89
1776295030000,1776295030000,89
1776295031000,1776295031000,89
1776295033000,1776295033000,90
1776295034000,1776295034000,90
1776295036000,1776295036000,90
1776295037000,1776295037000,92
1776295039000,1776295039000,92
1776295040000,1776295040000,92
1776295042000,1776295042000,92
1776295043000,1776295043000,90
1776295045000,1776295045000,90
1776295046000,1776295046000,90
1776295048000,1776295048000,88
1776295049000,1776295049000,88
1776295051000,1776295051000,88
1776295053000,1776295053000,89
1776295054000,1776295054000,89
1776295056000,1776295056000,89
1776295057000,1776295057000,92
1776295059000,1776295059000,92
1776295060000,1776295060000,92
1776295062000,1776295062000,93
1776295063000,1776295063000,93
1776295065000,1776295065000,93
1776295066000,1776295066000,93
1776295068000,1776295068000,97
1776295069000,1776295069000,97
1776295071000,1776295071000,97
1776295072000,1776295072000,97
1776295074000,1776295074000,97
1776295075000,1776295075000,97
1776295077000,1776295077000,97
1776295078000,1776295078000,93
1776295083000,1776295083000,92
1776295085000,1776295085000,92
1776295086000,1776295086000,92
1776295088000,1776295088000,92
1776295089000,1776295089000,92
1776295091000,1776295091000,92
1776295092000,1776295092000,96
1776295094000,1776295094000,96
1776295095000,1776295095000,96
1776295097000,1776295097000,95
1776295102000,1776295102000,96
1776295103000,1776295103000,96
1776295105000,1776295105000,96
1776295107000,1776295107000,96
1776295108000,1776295108000,95
1776295116000,1776295116000,93
1776295118000,1776295118000,92
1776295120000,1776295120000,92
1776295121000,1776295121000,92
1776295123000,1776295123000,93
1776295124000,1776295124000,93
1776295126000,1776295126000,93
1776295127000,1776295127000,93
1776295129000,1776295129000,93
1776295130000,1776295130000,93
1776295132000,1776295132000,93
1776295133000,1776295133000,96
1776295135000,1776295135000,96
1776295136000,1776295136000,96
1776295138000,1776295138000,97
1776295139000,1776295139000,97
1776295141000,1776295141000,97
1776295143000,1776295143000,92
1776295144000,1776295144000,92
1776295146000,1776295146000,92
1776295147000,1776295147000,89
1776295148000,1776295148000,89
1776295150000,1776295150000,89
1776295151000,1776295151000,89
1776295153000,1776295153000,89
1776295154000,1776295154000,89
1776295156000,1776295156000,89
1776295158000,1776295158000,91
1776295159000,1776295159000,91
1776295160000,1776295160000,91
1776295162000,1776295162000,93
1776295164000,1776295164000,93
1776295165000,1776295165000,93
1776295167000,1776295167000,93
1776295168000,1776295168000,95
1776295170000,1776295170000,95
1776295171000,1776295171000,95
1776295172000,1776295172000,96
1776295174000,1776295174000,96
1776295175000,1776295175000,96
1776295177000,1776295177000,96
1776295178000,1776295178000,96
1776295180000,1776295180000,96
1776295181000,1776295181000,96
1776295183000,1776295183000,100
1776295184000,1776295184000,100
1776295186000,1776295186000,100
1776295187000,1776295187000,94
1776295189000,1776295189000,94
1776295190000,1776295190000,94
1776295191000,1776295191000,94
1776295193000,1776295193000,95
1776295195000,1776295195000,95
1776295196000,1776295196000,95
1776295198000,1776295198000,97
1776295199000,1776295199000,97
1776295201000,1776295201000,97
1776295202000,1776295202000,98
1776295204000,1776295204000,98
1776295206000,1776295206000,98
1776295207000,1776295207000,97
1776295209000,1776295209000,97
1776295210000,1776295210000,97
1776295212000,1776295212000,97
1776295213000,1776295213000,97
1776295215000,1776295215000,97
1776295216000,1776295216000,97
1776295218000,1776295218000,95
1776295219000,1776295219000,95
1776295221000,1776295221000,95
1776295222000,1776295222000,92
1776295224000,1776295224000,92
1776295225000,1776295225000,92
1776295227000,1776295227000,92
1776295228000,1776295228000,92
1776295230000,1776295230000,92
1776295231000,1776295231000,92
1776295233000,1776295233000,91
1776295234000,1776295234000,91
1776295236000,1776295236000,91
1776295237000,1776295237000,91
1776295239000,1776295239000,91
1776295241000,1776295241000,91
1776295242000,1776295242000,95
1776295244000,1776295244000,95
1776295245000,1776295245000,95
1776295247000,1776295247000,95
1776295248000,1776295248000,99
1776295250000,1776295250000,99
1776295251000,1776295251000,99
1776295252000,1776295252000,99
1776295254000,1776295254000,99
1776295255000,1776295255000,99
1776295257000,1776295257000,98
1776295258000,1776295258000,98
1776295260000,1776295260000,98
1776295261000,1776295261000,98
1776295263000,1776295263000,97
1776295264000,1776295264000,97
1776295266000,1776295266000,97
1776295267000,1776295267000,98
1776295269000,1776295269000,98
1776295270000,1776295270000,98
1776295272000,1776295272000,97
1776295274000,1776295274000,97
1776295275000,1776295275000,97
1776295276000,1776295276000,97
1776295278000,1776295278000,96
1776295279000,1776295279000,96
1776295281000,1776295281000,96
1776295282000,1776295282000,97
1776295284000,1776295284000,97
1776295286000,1776295286000,97
1776295287000,1776295287000,96
1776295289000,1776295289000,96
1776295290000,1776295290000,96
1776295292000,1776295292000,97
1776295297000,1776295297000,91
1776295298000,1776295298000,91
1776295300000,1776295300000,91
1776295301000,1776295301000,91
1776295303000,1776295303000,93
1776295304000,1776295304000,93
1776295306000,1776295306000,93
1776295307000,1776295307000,92
1776295309000,1776295309000,92
1776295311000,1776295311000,92
1776295316000,1776295316000,99
1776295317000,1776295317000,96
1776295319000,1776295319000,96
1776295320000,1776295320000,96
1776295322000,1776295322000,104
1776295323000,1776295323000,104
1776295325000,1776295325000,104
1776295327000,1776295327000,104
1776295328000,1776295328000,104
1776295330000,1776295330000,104
1776295331000,1776295331000,104
1776295333000,1776295333000,102
1776295334000,1776295334000,102
1776295336000,1776295336000,102
1776295337000,1776295337000,102
1776295339000,1776295339000,102
1776295340000,1776295340000,102
1776295342000,1776295342000,98
1776295343000,1776295343000,98
1776295345000,1776295345000,98
1776295346000,1776295346000,98
1776295348000,1776295348000,98
1776295349000,1776295349000,98
1776295351000,1776295351000,98
1776295352000,1776295352000,102
1776295354000,1776295354000,102
1776295355000,1776295355000,102
1776295357000,1776295357000,94
1776295359000,1776295359000,94
1776295360000,1776295360000,94
1776295362000,1776295362000,94
1776295363000,1776295363000,94
1776295365000,1776295365000,94
1776295366000,1776295366000,94
1776295368000,1776295368000,94
1776295369000,1776295369000,94
1776295371000,1776295371000,94
1776295372000,1776295372000,96
1776295374000,1776295374000,96
1776295375000,1776295375000,96
1776295377000,1776295377000,95
1776295378000,1776295378000,95
1776295380000,1776295380000,95
1776295382000,1776295382000,95
1776295383000,1776295383000,99
1776295385000,1776295385000,99
1776295386000,1776295386000,99
1776295388000,1776295388000,102
1776295389000,1776295389000,102
1776295391000,1776295391000,102
1776295392000,1776295392000,97
1776295397000,1776295397000,96
1776295402000,1776295402000,88
1776295404000,1776295404000,88
1776295405000,1776295405000,88
1776295407000,1776295407000,88
1776295408000,1776295408000,88
1776295410000,1776295410000,88
1776295411000,1776295411000,88
1776295413000,1776295413000,90
1776295414000,1776295414000,90
1776295416000,1776295416000,90
1776295417000,1776295417000,93
1776295419000,1776295419000,93
1776295420000,1776295420000,93
1776295422000,1776295422000,95
1776295424000,1776295424000,95
1776295425000,1776295425000,95
1776295427000,1776295427000,95
1776295428000,1776295428000,96
1776295430000,1776295430000,96
1776295431000,1776295431000,96
1776295436000,1776295436000,96
1776295438000,1776295438000,97
1776295439000,1776295439000,97
1776295441000,1776295441000,97
1776295443000,1776295443000,92
1776295444000,1776295444000,92
1776295446000,1776295446000,92
1776295447000,1776295447000,89
1776295449000,1776295449000,89
1776295450000,1776295450000,89
1776295452000,1776295452000,91
1776295453000,1776295453000,91
1776295455000,1776295455000,91
1776295456000,1776295456000,91
1776295458000,1776295458000,91
1776295460000,1776295460000,91
1776295461000,1776295461000,87
1776295463000,1776295463000,87
1776295464000,1776295464000,87
1776295466000,1776295466000,87
1776295467000,1776295467000,95
1776295469000,1776295469000,95
1776295470000,1776295470000,95
1776295472000,1776295472000,98
1776295474000,1776295474000,98
1776295475000,1776295475000,98
1776295476000,1776295476000,98
1776295478000,1776295478000,99
1776295479000,1776295479000,99
1776295481000,1776295481000,99
1776295483000,1776295483000,98
1776295484000,1776295484000,98
1776295486000,1776295486000,98
1776295487000,1776295487000,92
1776295489000,1776295489000,92
1776295490000,1776295490000,92
1776295492000,1776295492000,96
1776295493000,1776295493000,96
1776295495000,1776295495000,96
1776295496000,1776295496000,96
1776295498000,1776295498000,90
1776295499000,1776295499000,90
1776295501000,1776295501000,90
1776295502000,1776295502000,95
1776295504000,1776295504000,95
